words,links,capital_words,spam_word_count,is_spam
139,1,0,1,0
681,4,18,10,1
284,0,3,6,0
373,4,1,3,0
253,0,0,2,0
202,0,2,0,0
306,1,6,0,0
716,3,28,1,1
68,0,0,2,0
159,4,3,0,0
242,0,5,1,0
151,3,26,10,1
168,1,2,0,0
284,2,3,4,0
169,0,0,2,0
146,0,3,0,0
273,1,1,2,0
218,2,2,1,0
569,3,1,8,1
672,10,7,10,1
95,5,1,0,0
257,1,10,1,0
271,4,4,2,0
502,2,4,5,1
167,0,2,1,0
31,2,2,0,0
823,5,9,9,1
446,8,3,10,1
81,10,24,4,1
234,2,5,1,0
599,2,18,9,1
959,2,30,3,1
178,0,9,3,0
192,3,16,3,1
212,2,3,1,0
469,7,2,10,1
724,6,0,10,1
257,1,8,0,0
891,9,28,0,1
233,5,1,2,0
923,6,19,9,1
88,1,25,10,1
749,1,4,3,1
867,1,3,4,1
665,2,23,0,1
677,7,28,7,1
299,7,10,8,1
249,0,3,2,0
261,2,2,2,0
638,5,22,3,1
649,9,5,9,1
231,4,0,1,0
923,2,26,10,1
189,2,26,1,1
128,2,1,3,1
246,1,2,4,0
217,2,30,7,1
163,5,0,1,0
153,2,4,0,0
256,0,1,1,0
188,9,12,6,1
171,1,0,5,1
881,2,15,6,1
852,3,11,6,1
543,1,4,10,1
540,7,28,10,1
191,6,10,9,1
510,2,27,3,1
511,3,26,5,1
418,0,2,2,0
213,2,8,1,0
175,1,3,1,0
247,8,8,8,1
127,1,1,1,0
341,4,27,3,1
38,2,6,1,0
269,1,8,0,0
864,9,29,4,1
686,8,14,10,1
63,0,17,4,1
210,0,10,0,0
221,0,6,1,0
33,1,2,2,0
962,2,19,8,1
106,2,0,6,0
909,1,2,3,1
757,8,0,6,1
109,2,17,6,1
599,4,15,10,1
64,1,2,2,0
647,2,11,1,1
732,6,27,7,1
398,2,3,4,0
144,2,3,1,0
157,1,1,1,0
842,2,16,4,1
297,1,3,2,0
247,10,2,6,1
446,6,7,9,1
333,10,7,10,1
281,2,1,1,0
872,7,11,7,1
758,7,28,0,1
219,0,0,0,0
130,8,18,8,1
237,0,6,0,0
83,2,0,0,0
149,1,3,2,0
130,1,2,5,0
46,2,3,1,0
124,9,7,5,1
23,0,1,1,0
455,1,3,0,0
119,0,3,1,0
334,5,5,9,1
165,2,3,5,0
192,2,30,7,1
148,1,0,2,0
265,2,1,0,0
93,9,22,1,1
206,4,20,6,1
106,7,8,3,1
152,5,0,1,0
290,1,7,1,0
119,0,3,1,0
248,2,1,2,0
113,3,3,1,0
198,4,27,10,1
193,7,18,1,1
52,2,0,1,0
147,0,0,1,0
213,2,9,1,0
228,1,1,5,0
819,8,14,7,1
91,3,0,2,0
551,3,29,6,1
285,0,3,1,0
57,8,15,6,1
396,4,16,4,1
133,0,20,6,1
241,1,5,1,0
107,2,2,6,0
865,4,1,10,1
850,6,4,3,1
91,3,0,5,0
33,2,2,2,0
228,1,0,0,0
92,2,5,1,1
235,0,0,1,0
176,0,2,0,0
733,7,9,9,1
166,0,1,3,0
405,0,5,2,1
345,0,1,1,0
836,1,24,8,1
788,7,25,10,1
153,2,29,4,1
776,7,28,7,1
54,5,12,7,1
453,1,0,1,0
52,2,3,0,0
615,9,7,6,1
78,8,17,10,1
163,1,0,1,0
118,4,6,10,1
196,10,1,8,1
74,3,12,4,1
495,10,30,10,1
618,6,20,10,1
54,2,11,5,1
198,9,6,10,1
247,2,3,2,0
254,0,0,1,0
731,10,3,0,1
178,2,5,3,1
710,9,14,0,1
292,1,3,0,0
287,2,4,0,0
479,1,0,1,0
900,2,2,1,1
59,0,2,1,0
157,2,0,0,0
236,1,19,3,1
185,1,2,2,0
465,6,12,6,1
222,2,0,2,0
167,2,0,1,0
782,6,6,8,1
283,1,1,1,0
819,9,15,4,1
31,1,0,0,0
156,2,4,8,1
722,10,17,1,1
83,4,2,1,0
227,3,1,1,0
133,1,5,0,0
956,9,10,10,1
225,4,10,2,0
70,4,5,6,1
159,5,1,2,0
990,3,6,5,1
117,2,3,4,0
39,0,4,0,0
240,0,0,2,0
536,9,5,10,1
171,3,15,6,1
215,2,0,1,0
149,1,8,10,1
190,4,5,3,1
482,3,16,6,1
452,3,14,4,1
657,1,17,3,1
222,2,0,0,0
816,7,20,10,1
217,2,1,2,0
380,4,4,7,1
352,5,23,4,1
255,2,1,1,0
221,0,2,1,0
703,9,27,3,1
569,10,30,8,1
240,0,3,5,0
217,2,1,1,0
928,6,10,9,1
290,0,9,3,0
484,0,28,4,1
592,7,3,3,1
481,7,6,4,1
111,1,1,1,0
62,10,1,9,1
393,5,8,10,1
157,2,24,6,1
170,2,9,10,1
214,0,1,2,0
124,1,2,1,0
205,0,1,2,0
181,1,4,3,0
242,1,0,0,0
174,1,0,4,1
422,5,23,7,1
810,7,16,4,1
928,9,5,4,1
249,9,4,6,1
122,4,0,4,0
232,10,26,3,1
175,2,2,2,0
242,1,1,2,0
156,0,0,2,0
213,2,3,3,0
73,2,4,1,0
419,8,8,6,1
616,4,30,5,1
187,4,9,5,1
247,2,0,0,0
188,1,3,2,0
349,7,4,1,1
191,1,1,2,0
107,10,11,1,1
191,1,0,2,0
108,4,16,9,1
790,3,24,0,1
160,8,6,1,1
902,7,9,1,1
615,2,14,4,1
242,4,0,1,0
380,2,5,2,0
170,0,3,1,0
875,3,30,8,1
78,1,10,2,0
26,1,3,0,0
489,2,26,8,1
482,2,1,2,0
867,2,1,8,1
363,1,2,0,0
192,9,5,10,1
545,4,4,8,1
27,0,1,2,0
596,1,3,5,1
374,10,30,5,1
510,2,30,7,1
759,2,1,2,1
125,2,2,2,0
553,1,6,3,1
260,3,2,1,0
112,1,2,0,0
114,1,20,3,1
94,1,2,0,0
124,0,4,3,0
230,1,2,2,0
34,2,1,0,0
27,4,2,4,0
126,2,1,2,0
174,1,28,6,1
242,0,0,2,0
944,3,23,7,1
67,5,2,2,0
271,2,2,0,0
898,8,27,8,1
159,0,2,1,0
721,5,19,1,1
195,5,1,1,0
426,0,2,1,0
504,3,0,10,1
577,6,1,5,1
249,1,3,1,0
214,0,3,1,0
158,10,26,4,1
125,1,0,0,0
29,2,3,5,0
231,8,6,7,1
195,2,0,1,0
290,0,1,0,0
306,2,7,0,0
846,0,4,4,1
345,2,1,1,0
218,2,0,4,0
49,0,3,2,0
386,10,26,2,1
223,7,21,3,1
633,2,19,8,1
205,0,0,1,0
178,2,0,2,0
37,1,3,2,0
280,0,7,0,0
29,1,2,1,0
298,3,22,8,1
131,10,16,7,1
495,1,1,3,0
256,2,3,1,0
479,2,2,5,0
107,2,0,2,0
419,1,2,0,0
289,3,3,3,0
30,5,3,1,0
487,2,0,0,0
868,9,14,5,1
184,9,6,3,1
187,2,4,3,0
175,1,13,6,1
90,1,3,2,0
897,7,4,10,1
309,2,26,7,1
791,9,27,6,1
393,0,2,5,0
182,2,15,8,1
330,10,10,5,1
25,1,2,1,0
89,2,3,1,0
601,8,5,9,1
281,0,30,4,1
905,4,5,8,1
142,4,0,0,0
141,1,1,1,0
460,5,19,4,1
245,1,5,5,1
67,0,6,5,0
270,0,1,1,0
211,1,2,1,0
410,5,22,9,1
30,0,1,1,0
256,3,23,4,1
341,4,8,2,0
593,8,15,3,1
957,1,10,3,1
901,3,28,6,1
82,7,28,9,1
247,1,7,6,1
208,1,2,2,0
385,3,25,8,1
635,7,23,1,1
89,2,2,2,0
159,0,0,0,0
422,2,1,0,0
223,0,0,0,0
196,1,1,2,0
113,4,1,5,0
71,1,2,2,0
169,0,0,2,0
794,0,27,6,1
331,2,1,1,0
77,2,5,3,1
238,3,11,9,1
755,9,6,6,1
204,1,2,0,0
491,1,10,3,0
396,4,11,7,1
273,4,6,8,1
136,1,3,5,0
177,0,0,0,0
134,4,3,1,0
943,7,30,4,1
442,3,28,10,1
122,1,3,1,0
448,2,10,4,0
45,0,2,2,0
55,7,22,10,1
225,3,2,1,0
314,6,26,10,1
474,6,7,7,1
220,0,2,2,0
478,0,9,9,1
194,0,3,5,0
987,1,2,1,1
110,9,12,0,1
341,2,19,8,1
278,0,2,1,0
126,1,2,1,0
134,9,2,8,1
224,1,1,3,0
165,1,2,1,0
158,2,2,1,0
51,7,9,9,1
170,2,0,0,0
383,0,19,4,1
60,1,0,0,0
828,8,12,4,1
47,2,0,2,0
436,10,10,1,1
125,1,3,2,0
166,2,5,4,1
872,5,0,10,1
891,8,10,3,1
93,2,1,2,0
405,7,17,8,1
109,1,1,0,0
200,0,6,10,1
510,4,24,9,1
849,0,30,2,1
70,9,17,1,1
61,2,2,3,0
177,2,3,1,0
144,8,27,10,1
228,2,8,0,0
123,2,6,1,0
222,4,3,2,0
431,6,15,9,1
372,9,21,5,1
107,1,0,2,0
880,5,22,5,1
189,4,8,9,1
905,5,5,7,1
299,1,8,2,0
335,4,21,9,1
142,2,1,0,0
339,2,1,2,0
489,1,4,5,1
202,1,1,2,0
142,0,0,2,0
119,2,0,5,0
28,4,1,1,0
468,1,4,1,0
88,2,27,7,1
218,0,1,6,1
876,7,0,8,1
94,9,7,1,1
649,7,11,0,1
127,9,17,8,1
106,0,3,0,0
74,0,2,0,0
278,2,7,7,1
90,2,8,1,0
130,1,2,2,0
156,1,1,1,0
37,2,2,2,0
102,1,1,1,0
229,3,24,6,1
176,1,2,1,0
77,5,2,1,0
158,1,3,0,0
262,2,2,2,0
275,2,2,2,0
211,1,0,0,0
326,1,2,0,0
183,1,23,3,1
89,4,29,3,1
197,7,0,10,1
172,4,18,7,1
295,2,1,3,0
81,0,2,2,0
161,1,3,1,0
63,1,0,2,0
220,1,2,2,0
299,0,2,0,0
824,2,4,3,1
476,0,1,2,0
272,1,0,0,0
157,3,13,9,1
102,6,19,7,1
251,8,10,9,1
129,10,1,5,1
158,9,12,7,1
79,1,0,2,0
951,3,16,1,1
212,1,3,1,0
57,1,1,2,0
278,4,0,0,0
489,6,15,6,1
58,2,2,6,0
622,9,22,7,1
20,1,2,2,0
110,6,10,8,1
721,3,5,0,1
72,2,17,1,1
338,2,2,0,0
71,2,2,1,0
143,10,28,8,1
412,6,6,4,1
93,1,5,1,0
115,1,3,1,0
149,3,25,6,1
714,2,16,9,1
219,1,2,2,0
163,0,7,1,0
98,2,0,2,0
679,7,14,7,1
357,1,3,1,0
128,0,0,0,0
60,1,7,3,0
207,0,3,1,0
247,2,4,1,0
183,3,30,0,1
140,8,25,7,1
194,0,3,1,0
291,4,1,10,1
272,0,1,2,0
187,1,0,2,0
416,2,0,2,0
254,4,4,8,1
392,6,28,9,1
300,4,18,6,1
218,2,5,0,0
133,2,1,0,1
90,8,23,6,1
744,2,23,0,1
187,5,23,10,1
488,8,20,1,1
903,5,5,3,1
132,0,1,0,0
244,6,6,3,1
205,1,2,0,0
202,1,3,0,0
888,7,9,8,1
40,2,3,2,0
244,2,1,7,1
355,1,27,6,1
85,9,0,7,1
83,5,1,2,0
97,1,2,0,0
652,3,26,1,1
62,2,2,0,0
426,10,29,2,1
123,7,3,3,1
364,1,1,1,0
460,2,13,8,1
189,0,2,0,0
71,0,0,2,0
112,2,2,0,0
611,4,22,4,1
756,3,28,9,1
202,2,0,0,0
293,2,1,1,0
369,0,3,2,0
427,1,1,5,0
671,7,7,9,1
652,2,9,6,1
94,0,1,2,0
114,4,2,1,0
80,2,0,2,0
273,0,0,2,0
231,9,22,5,1
764,6,14,10,1
637,8,26,10,1
52,2,2,2,0
350,6,3,5,1
294,4,15,9,1
517,6,19,4,1
405,1,3,2,0
326,3,10,5,0
557,2,25,1,1
25,2,7,0,0
835,8,6,8,1
99,10,8,7,1
574,7,0,10,1
297,0,1,2,0
300,1,3,0,0
266,2,5,4,0
846,3,16,5,1
558,3,5,0,1
379,3,14,10,1
47,1,8,1,0
957,1,9,2,1
638,2,13,10,1
88,7,24,7,1
198,6,19,1,1
475,5,8,3,1
678,9,16,3,1
178,0,8,2,0
128,1,3,0,0
177,2,3,0,0
937,2,10,7,1
123,1,2,0,0
274,0,3,1,0
189,0,2,6,0
678,3,22,3,1
659,1,13,5,1
81,1,1,2,0
176,4,5,5,1
366,2,1,1,0
839,1,27,10,1
26,1,2,1,0
161,4,4,1,1
173,2,1,1,0
955,8,30,7,1
159,2,1,2,0
961,7,1,4,1
179,4,13,10,1
173,2,1,5,0
292,0,4,0,0
122,9,5,9,1
239,2,2,2,0
256,2,3,2,0
237,6,0,5,1
137,1,3,0,0
371,0,1,3,1
204,2,3,0,0
343,4,13,7,1
208,1,5,2,0
244,0,0,0,0
70,2,3,0,0
303,2,12,9,1
226,1,6,2,0
144,6,8,4,1
120,5,15,5,1
174,0,4,2,0
181,2,1,2,0
878,7,25,3,1
294,1,0,1,0
105,1,2,1,0
86,0,5,0,0
686,5,23,9,1
166,2,7,1,0
679,10,7,6,1
979,2,19,6,1
143,9,27,4,1
578,9,21,10,1
211,1,9,0,0
897,4,8,3,1
101,9,16,3,1
203,2,2,0,0
192,3,13,5,1
277,9,24,8,1
723,8,30,6,1
843,5,8,5,1
132,3,9,9,1
319,1,3,2,0
138,0,3,0,0
161,3,3,0,0
370,0,2,2,0
399,5,23,5,1
226,1,2,2,0
76,1,15,4,1
143,1,9,5,1
454,9,27,9,1
199,5,17,2,1
291,5,1,0,0
779,3,23,8,1
165,1,1,1,0
162,7,30,10,1
352,0,1,2,0
989,10,6,2,1
219,0,0,2,0
375,2,0,2,0
66,2,29,3,1
119,5,1,6,0
341,6,28,6,1
293,2,6,0,0
525,3,20,1,1
142,0,1,10,1
338,8,7,8,1
265,0,4,3,0
952,8,27,5,1
53,2,2,2,0
470,2,0,3,0
151,2,1,0,0
166,2,1,2,0
202,1,1,2,0
785,5,17,4,1
796,3,25,2,1
99,0,1,1,0
502,10,27,6,1
125,5,8,3,1
870,7,1,10,1
652,8,3,6,1
837,5,2,6,1
258,1,3,1,0
188,6,19,7,1
477,2,29,3,1
286,3,2,2,0
600,5,24,8,1
360,3,0,1,0
880,1,17,7,1
184,5,27,10,1
689,10,21,1,1
630,5,5,4,1
448,9,10,9,1
649,1,19,10,1
352,2,0,5,0
278,2,3,1,0
429,4,21,9,1
241,2,2,2,0
53,3,8,4,1
46,2,0,0,0
137,3,5,8,1
84,3,7,2,0
293,1,3,0,0
297,1,8,2,0
151,4,0,6,1
32,1,2,0,0
39,2,1,0,0
432,2,2,4,0
26,2,1,1,0
284,9,26,0,1
133,0,1,1,0
195,2,1,1,0
468,7,20,0,1
816,9,12,5,1
356,10,17,4,1
720,7,8,10,1
610,8,18,3,1
263,1,0,2,0
160,0,3,2,0
230,0,2,5,0
252,0,0,1,0
65,5,2,2,0
923,4,22,6,1
127,2,30,4,1
80,1,3,2,0
167,5,1,1,0
613,8,12,8,1
185,2,21,6,1
297,2,0,2,0
184,2,10,2,0
40,1,10,3,0
185,2,1,1,0
194,3,19,3,1
42,1,2,2,0
353,2,4,2,0
251,3,4,2,0
714,3,5,4,1
160,1,1,2,0
623,3,15,10,1
50,2,23,7,1
259,1,3,0,0
342,1,2,0,0
640,3,16,2,1
250,2,0,1,0
930,0,8,7,1
88,0,1,1,0
993,3,29,3,1
160,2,1,2,0
81,2,1,2,0
92,0,4,5,1
129,2,1,1,0
188,2,22,6,1
144,0,8,2,0
104,2,3,0,0
427,3,3,0,0
595,0,27,6,1
534,3,6,0,1
107,0,2,0,0
458,2,2,2,0
82,0,2,1,0
951,0,14,5,1
39,0,0,0,0
871,8,6,6,1
25,2,0,2,0
416,2,0,4,0
616,7,5,4,1
694,5,11,1,1
22,2,2,2,0
278,4,1,3,0
171,1,2,0,0
89,1,2,1,0
909,9,12,7,1
941,5,16,4,1
244,9,4,10,1
758,3,28,4,1
210,3,5,0,0
84,4,2,2,0
133,0,0,1,0
451,2,18,7,1
115,1,2,0,0
240,1,0,2,0
195,0,7,1,0
394,8,1,3,1
225,2,27,10,1
170,2,2,2,0
768,9,4,2,1
57,0,1,2,0
230,2,1,1,0
874,6,25,4,1
237,1,1,1,0
645,6,23,3,1
189,1,2,1,0
106,1,0,0,0
308,4,1,1,1
704,2,9,10,1
24,4,0,5,0
161,5,8,6,1
140,0,2,1,0
208,4,1,2,0
849,7,0,4,1
127,0,2,2,0
157,1,2,0,0
224,1,0,2,0
190,6,13,6,1
336,3,27,0,1
298,0,1,1,0
242,0,1,1,0
150,0,10,0,0
548,5,2,10,1
909,7,5,2,1
294,0,2,6,0
32,0,2,1,0
298,2,6,1,0
335,0,10,9,1
508,5,24,8,1
209,1,2,0,0
508,10,25,5,1
889,2,24,10,1
822,2,10,8,1
665,8,6,5,1
143,4,0,8,1
318,7,26,5,1
62,1,1,2,0
190,1,1,1,0
218,2,3,1,0
186,0,4,0,0
146,4,28,5,1
161,1,3,1,0
295,0,1,0,0
48,1,1,0,0
792,2,18,3,1
414,5,2,7,1
98,2,3,1,0
138,2,11,3,1
237,0,7,2,0
206,0,2,2,0
246,0,1,2,0
151,2,2,4,0
213,0,0,2,0
824,2,20,4,1
793,3,20,3,1
218,2,2,0,0
638,6,21,1,1
50,1,3,0,0
159,1,1,1,0
185,0,3,0,0
26,0,0,0,0
483,0,15,7,1
37,0,1,2,0
573,5,27,4,1
68,1,1,6,0
167,5,3,4,0
78,3,3,9,1
111,0,3,3,0
742,6,23,6,1
186,0,2,1,0
955,5,11,5,1
200,2,2,0,0
156,1,9,1,0
807,7,3,7,1
84,0,0,0,0
111,2,0,3,0
322,9,22,9,1
911,3,18,8,1
183,3,4,3,1
843,10,3,5,1
54,7,14,4,1
959,3,13,10,1
216,1,0,5,0
962,10,8,3,1
131,0,2,0,0
252,9,29,3,1
248,3,19,6,1
274,4,3,4,0
331,2,2,4,0
118,5,30,7,1
699,3,5,3,1
196,0,1,2,0
52,1,1,2,0
142,5,4,10,1
806,10,23,7,1
748,3,22,10,1
612,0,22,3,1
474,8,23,6,1
233,1,0,1,0
130,8,10,3,1
300,9,4,6,1
250,4,19,5,1
623,8,10,2,1
984,6,20,4,1
290,0,1,1,0
470,3,5,5,1
76,0,7,6,0
114,0,8,1,0
118,1,3,0,0
981,3,13,7,1
888,2,8,5,1
158,2,1,2,0
269,3,0,1,0
216,1,1,2,0
232,1,2,2,0
336,2,9,9,1
254,8,5,5,1
841,9,1,1,1
149,1,0,0,0
116,10,25,7,1
233,1,2,0,0
30,4,1,1,0
100,3,21,1,1
200,0,1,1,0
85,1,3,3,0
180,3,2,0,0
322,5,2,1,0
499,2,19,4,1
56,2,2,1,0
269,5,2,1,0
120,0,17,6,1
178,1,1,1,0
124,2,0,2,0
894,4,11,2,1
80,0,2,2,0
207,4,3,0,0
366,2,3,0,0
165,0,2,0,0
544,1,15,5,1
161,6,16,4,1
314,5,15,7,1
60,3,1,9,1
180,1,4,1,0
769,10,3,5,1
431,6,20,10,1
296,2,8,1,0
51,2,24,3,1
820,10,5,9,1
37,1,2,2,0
278,5,2,0,0
368,2,26,9,1
149,1,7,2,0
374,4,10,9,1
145,0,16,3,1
336,0,22,3,1
292,1,3,1,0
41,0,3,2,0
919,0,16,8,1
266,1,1,0,0
374,4,18,8,1
57,5,16,6,1
367,3,2,2,0
800,3,15,3,1
333,1,5,10,1
275,0,8,4,0
809,3,5,10,1
172,2,1,1,0
239,4,15,5,1
168,3,21,3,1
237,3,1,0,0
116,9,28,9,1
150,4,16,0,1
565,7,15,5,1
125,8,28,10,1
135,5,3,0,0
316,2,13,8,1
208,2,0,0,0
395,10,13,3,1
829,1,6,6,1
988,3,14,4,1
231,4,6,10,1
749,2,0,4,1
770,9,0,7,1
846,3,22,7,1
250,1,3,2,0
